#,公式应用,类型,商品,建仓时间,建仓价格,平仓时间,平仓价格,数量,交易成本,净利,累计净利,收益率,累计收益率
1,Ama_CL,多头,880424,2017/2/27 11:30,1607,2017/3/3 10:30,1590,1,511.52,-2211.52,-2211.52,-1.38%,-1.38%
2,Ama_CL,多头,880506,2017/3/2 15:00,1427,2017/3/6 15:00,1429,1,456.96,-256.96,-2468.48,-0.18%,-1.56%
3,Ama_CL,多头,880922,2017/3/2 15:00,1310,2017/3/7 14:00,1280,1,414.4,-3414.4,-5882.88,-2.61%,-4.16%
4,Ama_CL,多头,880910,2017/3/3 10:30,1489,2017/3/7 15:00,1498,1,477.92,422.08,-5460.8,0.28%,-3.88%
5,Ama_CL,多头,880448,2017/3/6 14:00,2255,2017/3/9 10:30,2248,1,720.48,-1420.48,-6881.28,-0.63%,-4.51%
6,Ama_CL,多头,880946,2017/3/7 10:30,917,2017/3/9 14:00,908,1,292,-1192,-8073.28,-1.30%,-5.81%
7,Ama_CL,多头,880520,2017/3/6 11:30,1376,2017/3/9 14:00,1370,1,439.36,-1039.36,-9112.64,-0.76%,-6.56%
8,Ama_CL,多头,880446,2017/3/7 11:30,1273,2017/3/10 11:30,1264,1,405.92,-1305.92,-10418.56,-1.03%,-7.59%
9,Ama_CL,多头,880584,2017/3/3 11:30,1665,2017/3/10 11:30,1670,1,533.6,-33.6,-10452.16,-0.02%,-7.61%
10,Ama_CL,多头,880351,2017/3/2 15:00,1182,2017/3/10 15:00,1192,1,379.84,620.16,-9832,0.52%,-7.09%
11,Ama_CL,多头,880578,2017/3/8 15:00,2267,2017/3/13 10:30,2235,1,720.32,-3920.32,-13752.32,-1.73%,-8.82%
12,Ama_CL,多头,880577,2017/3/7 10:30,3313,2017/3/16 11:30,3400,1,1074.08,7625.92,-6126.4,2.30%,-6.51%
13,Ama_CL,多头,880583,2017/3/6 14:00,2527,2017/3/16 14:00,2541,1,810.88,589.12,-5537.28,0.23%,-6.28%
14,Ama_CL,多头,880901,2017/3/8 11:30,2543,2017/3/17 11:30,2529,1,811.52,-2211.52,-7748.8,-0.87%,-7.15%
15,Ama_CL,多头,880505,2017/3/17 11:30,536,2017/3/17 15:00,528,1,170.24,-970.24,-8719.04,-1.81%,-8.96%
16,Ama_CL,多头,880482,2017/3/14 14:00,1746,2017/3/20 10:30,1723,1,555.04,-2855.04,-11574.08,-1.64%,-10.60%
17,Ama_CL,多头,880456,2017/3/16 14:00,2434,2017/3/20 10:30,2413,1,775.52,-2875.52,-14449.6,-1.18%,-11.78%
18,Ama_CL,多头,880546,2017/3/7 15:00,2239,2017/3/21 10:30,2231,1,715.2,-1515.2,-15964.8,-0.68%,-12.45%
19,Ama_CL,多头,880930,2017/3/7 14:00,1402,2017/3/21 10:30,1420,1,451.52,1348.48,-14616.32,0.96%,-11.49%
20,Ama_CL,多头,880581,2017/3/8 14:00,2368,2017/3/21 15:00,2438,1,768.96,6231.04,-8385.28,2.63%,-8.86%
21,Ama_CL,多头,880902,2017/3/3 11:30,1909,2017/3/22 10:30,1942,1,616.16,2683.84,-5701.44,1.41%,-7.45%
22,Ama_CL,多头,880539,2017/3/8 10:30,1615,2017/3/22 10:30,1614,1,516.64,-616.64,-6318.08,-0.38%,-7.84%
23,Ama_CL,多头,880534,2017/3/2 14:00,1527,2017/3/22 14:00,1565,1,494.72,3305.28,-3012.8,2.16%,-5.67%
24,Ama_CL,多头,880452,2017/2/28 11:30,1414,2017/3/24 10:30,1507,1,467.36,8832.64,5819.84,6.25%,0.58%
25,Ama_CL,多头,880944,2017/3/14 15:00,1082,2017/3/24 10:30,1078,1,345.6,-745.6,5074.24,-0.69%,-0.11%
26,Ama_CL,多头,880545,2017/3/3 11:30,2203,2017/3/24 11:30,2243,1,711.36,3288.64,8362.88,1.49%,1.38%
27,Ama_CL,多头,880584,2017/3/14 10:30,1693,2017/3/24 14:00,1695,1,542.08,-342.08,8020.8,-0.20%,1.18%
28,Ama_CL,多头,880585,2017/3/17 10:30,1668,2017/3/24 15:00,1671,1,534.24,-234.24,7786.56,-0.14%,1.04%
29,Ama_CL,多头,880424,2017/3/22 15:00,1654,2017/3/24 15:00,1663,1,530.72,369.28,8155.84,0.22%,1.26%
30,Ama_CL,多头,880920,2017/3/15 11:30,1468,2017/3/27 11:30,1482,1,472,928,9083.84,0.63%,1.89%
31,Ama_CL,多头,880448,2017/3/24 15:00,2372,2017/3/28 11:30,2360,1,757.12,-1957.12,7126.72,-0.83%,1.07%
32,Ama_CL,多头,880529,2017/2/24 14:00,6462,2017/3/28 15:00,7435,1,2223.52,95076.48,102203.2,14.71%,15.78%
33,Ama_CL,多头,880506,2017/3/8 15:00,1466,2017/3/29 10:30,1472,1,470.08,129.92,102333.12,0.09%,15.87%
34,Ama_CL,多头,880569,2017/3/7 10:30,2622,2017/3/29 10:30,2589,1,833.76,-4133.76,98199.36,-1.58%,14.29%
35,Ama_CL,多头,880380,2017/3/8 14:00,1695,2017/3/29 11:30,1736,1,548.96,3551.04,101750.4,2.10%,16.39%
36,Ama_CL,多头,880557,2017/3/20 10:30,2165,2017/3/29 15:00,2178,1,694.88,605.12,102355.52,0.28%,16.67%
37,Ama_CL,多头,880400,2017/3/20 14:00,1815,2017/3/30 10:30,1822,1,581.92,118.08,102473.6,0.07%,16.73%
38,Ama_CL,多头,880943,2017/3/7 10:30,988,2017/3/30 10:30,992,1,316.8,83.2,102556.8,0.08%,16.82%
39,Ama_CL,多头,880565,2017/2/27 11:30,6422,2017/3/30 10:30,6538,1,2073.6,9526.4,112083.2,1.48%,18.30%
40,Ama_CL,多头,880599,2017/3/23 10:30,1635,2017/3/30 11:30,1599,1,517.44,-4117.44,107965.76,-2.52%,15.78%
41,Ama_CL,多头,880536,2017/3/17 11:30,860,2017/3/30 11:30,851,1,273.76,-1173.76,106792,-1.36%,14.42%
42,Ama_CL,多头,880476,2017/3/17 15:00,1689,2017/3/30 14:00,1723,1,545.92,2854.08,109646.08,1.69%,16.11%
43,Ama_CL,多头,880440,2017/3/8 11:30,1760,2017/3/30 15:00,1734,1,559.04,-3159.04,106487.04,-1.79%,14.31%
44,Ama_CL,多头,880387,2017/3/22 11:30,2252,2017/3/31 10:30,2233,1,717.6,-2617.6,103869.44,-1.16%,13.15%
45,Ama_CL,多头,880594,2017/3/17 15:00,1834,2017/3/31 10:30,1984,1,610.88,14389.12,118258.56,7.85%,20.99%
46,Ama_CL,多头,880491,2017/3/7 14:00,1234,2017/3/31 11:30,1249,1,397.28,1102.72,119361.28,0.89%,21.89%
47,Ama_CL,多头,880355,2017/3/17 14:00,1517,2017/3/31 11:30,1521,1,486.08,-86.08,119275.2,-0.06%,21.83%
48,Ama_CL,多头,880904,2017/3/8 11:30,2323,2017/3/31 14:00,2331,1,744.64,55.36,119330.56,0.02%,21.85%
49,Ama_CL,多头,880591,2017/3/28 11:30,2055,2017/3/31 14:00,2028,1,653.28,-3353.28,115977.28,-1.63%,20.22%
50,Ama_CL,多头,880574,2017/3/8 10:30,2054,2017/4/5 14:00,2119,1,667.68,5832.32,121809.6,2.84%,23.06%
51,Ama_CL,多头,880492,2017/3/7 11:30,1624,2017/4/6 10:30,1657,1,524.96,2775.04,124584.64,1.71%,24.77%
52,Ama_CL,多头,880476,2017/4/5 15:00,1775,2017/4/7 15:00,1819,1,575.04,3824.96,128409.6,2.15%,26.93%
53,Ama_CL,多头,880571,2017/4/7 10:30,1734,2017/4/10 14:00,1732,1,554.56,-754.56,127655.04,-0.44%,26.49%
54,Ama_CL,多头,880520,2017/4/6 14:00,1390,2017/4/10 14:00,1383,1,443.68,-1143.68,126511.36,-0.82%,25.67%
55,Ama_CL,多头,880432,2017/4/6 11:30,1841,2017/4/11 10:30,1856,1,591.52,908.48,127419.84,0.49%,26.16%
56,Ama_CL,多头,880575,2017/4/6 10:30,2200,2017/4/11 10:30,2212,1,705.92,494.08,127913.92,0.22%,26.39%
57,Ama_CL,多头,880577,2017/4/7 11:30,3438,2017/4/11 11:30,3409,1,1095.52,-3995.52,123918.4,-1.16%,25.22%
58,Ama_CL,多头,880537,2017/4/7 14:00,1042,2017/4/11 15:00,1041,1,333.28,-433.28,123485.12,-0.42%,24.81%
59,Ama_CL,多头,880446,2017/4/7 10:30,1272,2017/4/11 15:00,1268,1,406.4,-806.4,122678.72,-0.63%,24.17%
60,Ama_CL,多头,880456,2017/4/5 15:00,2520,2017/4/12 10:30,2713,1,837.28,18462.72,141141.44,7.33%,31.50%
61,Ama_CL,多头,880430,2017/4/12 10:30,1760,2017/4/12 11:30,1751,1,561.76,-1461.76,139679.68,-0.83%,30.67%
62,Ama_CL,多头,880587,2017/4/11 11:30,1845,2017/4/13 11:30,1832,1,588.32,-1888.32,137791.36,-1.02%,29.65%
