#,公式应用,类型,商品,建仓时间,建仓价格,平仓时间,平仓价格,数量,最佳平仓价,最佳平仓时间,最差平仓价,最差平仓时间,浮动盈利,浮动亏损,建仓效率,平仓效率,总效率
1,Ama_CL,多头,880424,2017/2/27 11:30,1607,2017/3/3 10:30,1590,1,1618,2017/3/1 11:30,1590,2017/2/27 11:30,554.05,-2211.52,24.55%,-22.55%,-98.00%
2,Ama_CL,多头,880506,2017/3/2 15:00,1427,2017/3/6 15:00,1429,1,1432,2017/3/6 14:00,1407,2017/3/3 11:30,34.57,-2468.42,1.68%,85.80%,-12.52%
3,Ama_CL,多头,880922,2017/3/2 15:00,1310,2017/3/7 14:00,1280,1,1313,2017/3/3 10:30,1275,2017/3/7 11:30,0,-3873.66,-2.54%,1.51%,-101.02%
4,Ama_CL,多头,880910,2017/3/3 10:30,1489,2017/3/7 15:00,1498,1,1507,2017/3/6 15:00,1488,2017/3/3 11:30,1360.58,-549.36,94.90%,34.54%,29.44%
5,Ama_CL,多头,880448,2017/3/6 14:00,2255,2017/3/9 10:30,2248,1,2285,2017/3/7 10:30,2248,2017/3/6 14:00,2254.64,-1420.48,76.28%,-24.34%,-48.06%
6,Ama_CL,多头,880946,2017/3/7 10:30,917,2017/3/9 14:00,908,1,923,2017/3/8 10:30,905,2017/3/9 11:30,311.59,-1494.52,20.55%,0.85%,-78.60%
7,Ama_CL,多头,880520,2017/3/6 11:30,1376,2017/3/9 14:00,1370,1,1383,2017/3/7 15:00,1366,2017/3/9 11:30,239.6,-1394.8,20.01%,-6.83%,-86.82%
8,Ama_CL,多头,880446,2017/3/7 11:30,1273,2017/3/10 11:30,1264,1,1275,2017/3/8 10:30,1262,2017/3/9 15:00,0,-1555.52,-25.99%,-16.85%,-142.85%
9,Ama_CL,多头,880584,2017/3/3 11:30,1665,2017/3/10 11:30,1670,1,1691,2017/3/6 15:00,1661,2017/3/9 11:30,2103.97,-953.13,83.30%,15.37%,-1.33%
10,Ama_CL,多头,880351,2017/3/2 15:00,1182,2017/3/10 15:00,1192,1,1213,2017/3/8 10:30,1166,2017/3/3 10:30,2758.73,-1961.7,63.46%,50.81%,14.27%
11,Ama_CL,多头,880578,2017/3/8 15:00,2267,2017/3/13 10:30,2235,1,2277,2017/3/9 10:30,2233,2017/3/9 14:00,293.93,-4078.08,8.04%,-15.23%,-107.19%
12,Ama_CL,多头,880577,2017/3/7 10:30,3313,2017/3/16 11:30,3400,1,3405,2017/3/14 10:30,3313,2017/3/7 10:30,8164.05,-1060.16,100.00%,93.41%,93.41%
13,Ama_CL,多头,880583,2017/3/6 14:00,2527,2017/3/16 14:00,2541,1,2552,2017/3/8 10:30,2516,2017/3/13 10:30,1666.39,-1869.93,61.02%,60.56%,21.57%
14,Ama_CL,多头,880901,2017/3/8 11:30,2543,2017/3/17 11:30,2529,1,2543,2017/3/8 11:30,2489,2017/3/15 14:00,0,-6208.12,-17.70%,69.60%,-48.10%
15,Ama_CL,多头,880505,2017/3/17 11:30,536,2017/3/17 15:00,528,1,536,2017/3/17 11:30,528,2017/3/17 11:30,0,-970.24,-27.24%,-26.83%,-154.07%
16,Ama_CL,多头,880482,2017/3/14 14:00,1746,2017/3/20 10:30,1723,1,1756,2017/3/17 10:30,1723,2017/3/14 14:00,420.72,-2855.04,15.44%,-20.24%,-104.80%
17,Ama_CL,多头,880456,2017/3/16 14:00,2434,2017/3/20 10:30,2413,1,2443,2017/3/16 15:00,2412,2017/3/17 15:00,148.63,-3015.29,6.21%,-26.42%,-120.20%
18,Ama_CL,多头,880546,2017/3/7 15:00,2239,2017/3/21 10:30,2231,1,2298,2017/3/8 10:30,2217,2017/3/20 15:00,5147.12,-2953.88,69.63%,9.87%,-20.50%
19,Ama_CL,多头,880930,2017/3/7 14:00,1402,2017/3/21 10:30,1420,1,1447,2017/3/17 11:30,1397,2017/3/9 11:30,4038.16,-971.8,88.50%,41.05%,29.55%
20,Ama_CL,多头,880581,2017/3/8 14:00,2368,2017/3/21 15:00,2438,1,2452,2017/3/16 15:00,2339,2017/3/13 10:30,7664.75,-3653.12,72.52%,86.44%,58.95%
21,Ama_CL,多头,880902,2017/3/3 11:30,1909,2017/3/22 10:30,1942,1,1977,2017/3/17 11:30,1904,2017/3/3 14:00,6164.26,-1081.13,92.89%,47.55%,40.44%
22,Ama_CL,多头,880539,2017/3/8 10:30,1615,2017/3/22 10:30,1614,1,1634,2017/3/17 10:30,1593,2017/3/9 11:30,1355.2,-2690.32,38.33%,44.23%,-17.44%
23,Ama_CL,多头,880534,2017/3/2 14:00,1527,2017/3/22 14:00,1565,1,1586,2017/3/17 11:30,1511,2017/3/3 10:30,5397.93,-2079.1,77.19%,70.08%,47.26%
24,Ama_CL,多头,880452,2017/2/28 11:30,1414,2017/3/24 10:30,1507,1,1551,2017/3/8 11:30,1412,2017/2/28 14:00,13231.6,-619.21,98.75%,67.17%,65.92%
25,Ama_CL,多头,880944,2017/3/14 15:00,1082,2017/3/24 10:30,1078,1,1092,2017/3/17 11:30,1067,2017/3/22 11:30,646.16,-1881.78,29.55%,36.35%,-34.10%
26,Ama_CL,多头,880545,2017/3/3 11:30,2203,2017/3/24 11:30,2243,1,2293,2017/3/17 11:30,2203,2017/3/3 11:30,8319.57,-704.96,100.00%,39.53%,39.53%
27,Ama_CL,多头,880584,2017/3/14 10:30,1693,2017/3/24 14:00,1695,1,1705,2017/3/17 10:30,1676,2017/3/23 14:00,699.26,-2278.98,28.63%,57.36%,-14.01%
28,Ama_CL,多头,880585,2017/3/17 10:30,1668,2017/3/24 15:00,1671,1,1687,2017/3/21 10:30,1651,2017/3/23 14:00,1336.24,-2205.08,44.35%,47.88%,-7.77%
