Bar#,时间,多头保证金,空头保证金,可用资金,动态权益,交易成本,静态权益,累计收益率
1415,2018/7/31 15:00,0,0,1523370461,1523370461,6066.4,1523370461,2108.24
1414,2018/7/31 14:00,3792937.01,0,1519590988,1523383925,1131.52,1523316288,2120.57
1413,2018/7/31 11:00,4488839.95,0,1518886055,1523374895,417.28,1523320855,2113.19
1412,2018/7/31 10:00,4738241.01,0,1518626073,1523364314,319.84,1523311373,2104.51
1411,2018/7/30 15:00,4956713.02,0,1518426804,1523383517,203.2,1523306504,2120.14
1410,2018/7/30 14:00,5067085.99,0,1518300208,1523367294,1709.12,1523305908,2107.53
1409,2018/7/30 11:00,5688339.01,0,1517704820,1523393159,1836.8,1523274520,2128.43
1408,2018/7/30 10:00,6866428.99,0,1516560484,1523426913,634.88,1523271984,2153.69
1407,2018/7/27 15:00,7245696.98,0,1516164955,1523410652,380.96,1523274055,2140.94
1406,2018/7/27 14:00,7508849.97,0,1515927614,1523436464,754.72,1523273214,2159.87
1405,2018/7/27 11:00,7979938.01,0,1515457416,1523437354,345.76,1523270316,2161.09
1404,2018/7/27 10:00,8194551.95,0,1515242007,1523436559,1598.72,1523270207,2162.03
1403,2018/7/26 15:00,8978788,0,1514482437,1523461225,1863.36,1523280237,2175.88
1402,2018/7/26 14:00,10152075.96,0,1513321558,1523473634,777.76,1523280758,2184.77
1401,2018/7/26 11:00,10251484,0,1513218998,1523470482,921.12,1523279198,2181.26
1400,2018/7/26 10:00,10888062.06,0,1512645120,1523533183,650.24,1523268820,2229.11
1399,2018/7/25 15:00,11319733.97,0,1512240011,1523559745,0,1523264111,2246.15
1398,2018/7/25 14:00,11298962.96,0,1512240011,1523538974,0,1523264111,2231.05
1397,2018/7/25 11:00,11341829.99,0,1512240011,1523581841,514.4,1523264111,2264.97
1396,2018/7/25 10:00,10997507.98,0,1512561511,1523559019,848.64,1523264111,2243.8
1395,2018/7/24 15:00,10674997.98,0,1512900615,1523575613,1080,1523262315,2254.66
1394,2018/7/24 14:00,9992502.91,0,1513575615,1523568117,1425.12,1523262315,2248.9
1393,2018/7/24 11:00,9318529,0,1514252060,1523570589,1542.72,1523263660,2249.52
1392,2018/7/24 10:00,8638023.99,0,1514933310,1523571334,1736.96,1523262510,2249.71
1391,2018/7/23 15:00,7431188.01,0,1516018910,1523450098,1889.76,1523262510,2155.41
1390,2018/7/23 14:00,6208513.96,0,1517200010,1523408524,1177.6,1523262510,2125
1389,2018/7/23 11:00,5461181.03,0,1517936010,1523397191,654.08,1523262510,2117.22
1388,2018/7/23 10:00,5460431.01,0,1517945430,1523405861,0,1523250230,2121.45
1387,2018/7/20 15:00,5408924.03,0,1517945430,1523354354,336,1523250230,2085.15
1386,2018/7/20 14:00,5438646.98,0,1517923199,1523361846,0,1523248599,2089.81
1385,2018/7/20 11:00,5361064.01,0,1517923199,1523284263,0,1523248599,2033.65
1384,2018/7/20 10:00,5364599.97,0,1517923199,1523287799,701.76,1523248599,2035.54
1383,2018/7/19 15:00,5565204.98,0,1517724225,1523289430,0,1523252425,2036.35
1382,2018/7/19 14:00,5570588,0,1517724225,1523294813,449.92,1523252425,2039.98
